##BLOCKS= 1          
Plate:	Plate#1	1.3	PlateFormat	FLEX	Fluorescence	TRUE	Raw	FALSE	198	300	1.52				1	565	1	12	96	530	Automatic	550			6	Medium			1	8	TimeTags	
	Temperature(¡C)	1	2	3	4	5	6	7	8	9	10	11	12		
	37.07	0.7398	0.7442	0.7462	0.7476	0.7464	0.7426	0.7472	0.7454	0.7416	0.7388	0.7422	0.7466		
		1121.293	1300.454	1147.619	1201.352	1553.404	1327.815	1153.158	1291.388	1368.369	1293.776	1262.605	1332.435		
		0.899	0.8922	0.9742	0.906	0.9048	0.8914	0.9064	0.9254	0.892	0.9684	0.9694	0.905		
		1129.037	1543.401	1019.475	1282.603	1356.044	1338.256	1053.122	1155.419	1252.931	1326.819	1146.523	1336.228		
		1.0486	1.053	1.1238	1.066	1.056	1.0514	1.0648	1.0846	1.0504	1.1172	1.1206	1.0562		
		991.337	1020.824	1055.828	958.503	1133.421	1266.978	1129.258	1024.082	1252.863	1284.001	1093.243	1330.062		
		1.2086	1.213	1.2742	1.2164	1.2352	1.2114	1.3056	1.2342	1.2728	1.2772	1.2822	1.205		
		1057.896	992.847	1203.428	1160.05	1441.066	1103.922	1032.437	1143.914	1243.203	1319.059	1415.617	998.819		
		1.3686	1.3634	1.4342	1.4492	1.3952	1.4218	1.4656	1.395	1.4216	1.4284	1.431	1.3954		
		1125.803	1218.299	1631.95	1355.63	1210.55	1506.126	1685.34	1564.934	1399.873	1269.344	1350.097	1203.341		
		1.519	1.6034	1.5846	1.5956	1.5456	1.5818	1.6168	1.555	1.5816	1.578	1.591	1.545		
		1492.547	1581.358	1849.588	1743.617	1586.449	1479.214	1836.066	1803.644	1388.579	1422.633	1565.303	1485.211		
		1.7094	1.753	1.735	1.7468	1.696	1.7322	1.7664	1.707	1.7416	1.738	1.751	1.697		
		1271.281	1350.114	1344.148	1341.429	1392.358	1338.688	1359.204	1399.601	1374.537	1407.014	1502.301	1175.395		
		1.859	1.9034	1.9686	1.906	1.856	1.8842	1.9264	1.9198	1.892	1.8876	1.903	1.8554		
		1208.306	1349.091	1264.986	1320.873	1306.013	1291.486	1332.867	1350.232	1314.926	1321.084	1247.343	801.816		
		
	37.07	2.1398	2.1842	2.2454	2.1868	2.136	2.1626	2.2896	2.195	2.1816	2.1692	2.1918	2.1362		
		1132.065	1310.837	1155.043	1201.182	1555.404	1329.542	1153.408	1282.809	1353.589	1302.341	1269.764	1338.34		
		2.3006	2.3538	2.4054	2.3468	2.3064	2.313	2.448	2.3774	2.424	2.3484	2.3414	2.297		
		1133.246	1547.826	1051.569	1271.085	1350.894	1329.329	1022.618	1136.541	1265.212	1342.92	1159.25	1346.735		
		2.4702	2.5954	2.5558	2.5988	2.4568	2.4842	2.5968	2.5254	2.5816	2.4988	2.503	2.4858		
		973.596	1026.038	1061.978	966.777	1130.948	1252.264	1136.772	1035.127	1260.629	1280.37	1087.498	1327.407		
		2.7038	2.7442	2.7062	2.7572	2.6264	2.653	2.7568	2.6758	2.732	2.6588	2.6718	2.6362		
		1060.86	987.045	1192.445	1157.252	1448.677	1096.684	1020.544	1146.452	1238.221	1330.299	1412.177	992.691		
		2.8502	2.9058	2.8662	2.9172	2.7872	2.8034	2.9168	2.8358	2.8824	2.8196	2.8222	2.7962		
		1127.703	1215.017	1650.991	1350.3	1220.536	1505.93	1685.942	1573.497	1417.205	1257.347	1347.157	1207.491		
