##BLOCKS= 1          
Plate:	Plate#1	1.3	PlateFormat	FLEX	Fluorescence	TRUE	Raw	FALSE	237	360	1.52				1	565	1	10	96	530	Automatic	550			6	Medium			1	8	TimeTags	
	Temperature(¡C)	1	2	3	4	5	6	7	8	9	10	11	12		
		6.178	6.3378	6.3002	6.1832	6.2006	6.2484	6.2884	6.232	6.2372	6.1988				
		2.213	2.701	2.94	2.985	3.83	4.183	3.875	4.065	4.167	4.457				
		
	37.08	6.57	6.6194	6.581	6.5632	6.5926	6.5284	6.6492	6.5272	6.558	6.6092				
		1506.786	1661.61	1592.095	1570.372	1613.16	1594.624	1675.301	1652.247	1604.391	1494.608				
		6.7284	6.7874	6.7306	6.7144	6.7414	6.69	6.8164	6.692	6.7196	6.7588				
		1442.488	1703.23	1599.378	1688.034	1694.333	1684.02	1712.331	1732.925	1668.649	1530.772				
		6.878	6.9378	6.881	6.8744	6.8918	6.9268	6.9692	6.8424	6.8676	6.9092				
		1533.723	1824.563	1744.543	1808.47	1751.812	1808.823	1767.698	1757.746	1721.628	1591.116				
		7.0284	7.0986	7.041	7.0944	7.0518	7.0796	7.1292	7.0024	7.018	7.1036				
		1371.155	1610.848	1514.019	1621.634	1719.473	1691.086	1786.508	1759.321	1632.129	1454.091				
		7.1892	7.3186	7.2818	7.2448	7.203	7.2388	7.2796	7.1528	7.218	7.2516				
		1.463	1.769	1.807	1.997	1.757	1.746	1.802	1.775	1.903	2.006				
		7.4292	7.469	7.4418	7.4048	7.3622	7.3908	7.4308	7.3032	7.37	7.41				
		1.463	1.951	2.058	2.13	1.997	2.296	2.25	1.978	2.1	1.892				
		7.5892	7.629	7.6018	7.5544	7.6022	7.55	7.6236	7.4632	7.5284	7.57				
		1.462	1.479	1.845	1.957	2.36	2.922	2.259	2.157	1.832	1.772				
		7.7492	7.7786	7.7522	7.7056	7.7526	7.6996	7.77	7.6528	7.6884	7.7204				
		2.209	2.96	2.737	3.019	3.879	4.326	3.927	4.049	4.02	4.409				
		
	37.08	8.0796	8.1394	8.1026	8.1552	8.0926	8.102	8.0804	8.0432	8.0804	8.162				
		1508.221	1677.758	1589.04	1568.865	1616.916	1602.04	1670.2	1658.32	1608.53	1491.036				
		8.2292	8.3794	8.333	8.3152	8.243	8.25	8.2324	8.1936	8.2796	8.3108				
		1434.126	1702.529	1601.821	1691.574	1697.28	1686.09	1714.649	1728.246	1669.945	1528.345				
		8.4172	8.5394	8.493	8.4832	8.403	8.4004	8.3908	8.3544	8.43	8.4708				
		1531.703	1830.173	1744.846	1807.357	1757.799	1806.711	1761.902	1763.365	1727.857	1604.828				
		8.5708	8.6906	8.6426	8.636	8.5934	8.5604	8.5508	8.504	8.5892	8.6212				
		1377.321	1609.127	1523.535	1626.961	1732.624	1691.545	1796.163	1759.47	1627.131	1458.411				
		8.7204	8.8402	8.793	8.796	8.7454	8.7124	8.7508	8.7248	8.7396	8.7716				
		1.447	1.791	1.793	1.742	1.712	1.757	1.639	1.774	2.061	1.69				
		8.8708	9.0002	8.953	8.9456	8.903	8.8708	8.9116	8.8848	8.89	8.9316				
		1.468	1.686	1.772	1.977	1.794	2.389	2.101	1.872	1.974	1.766				
		9.0308	9.1602	9.1034	9.1536	9.0534	9.1108	9.0708	9.0344	9.05	9.0916				
		1.587	1.561	1.819	1.906	2.175	2.727	2.139	2.194	2.074	1.735				
		9.1804	9.3674	9.329	9.3168	9.2038	9.2612	9.2212	9.1848	9.2692	9.2916				
		2.297	2.758	3.056	3.145	4.125	4.112	3.922	4.104	3.947	4.405				
		
	37.06	9.6012	9.641	9.6138	9.5968	9.6518	9.602	9.614	9.5552	9.5908	9.642				
		1513.614	1680.719	1600.53	1565.068	1606.714	1586.897	1674.159	1649.563	1606.099	1489.194				
		9.7516	9.7914	9.7738	9.7568	9.8046	9.7524	9.8124	9.7856	9.7412	9.7924				
		1444.836	1710.573	1608.057	1688.339	1703.241	1676.074	1710.095	1721.95	1663.996	1534.757				
		9.9116	9.9514	9.9346	9.908	9.9542	9.9124	9.9724	9.9352	9.9012	9.9524				
		1531.782	1840.01	1736.165	1803.337	1742.801	1817.191	1766.538	1754.645	1724.456	1586.374				
		10.0724	10.101	10.1042	10.0776	10.1062	10.102	10.122	10.0864	10.0516	10.1028				
		1380.588	1612.575	1524.795	1608.74	1725.045	1705.69	1801.945	1770.312	1630.825	1457.002				
		10.222	10.253	10.2642	10.2776	10.2646	10.2548	10.274	10.2456	10.2012	10.2788				
		1.425	1.785	1.614	1.937	1.875	1.716	1.73	1.759	2.137	1.789				
		10.382	10.4914	10.4546	10.428	10.415	10.4124	10.4324	10.396	10.4012	10.4324				
		1.565	1.621	2.093	1.93	1.916	2.414	1.975	1.802	1.934	1.727				
		10.602	10.6418	10.6058	10.5888	10.5654	10.5628	10.5828	10.5464	10.5516	10.5828				
		1.503	1.708	1.871	1.989	2.301	2.613	2.35	2.063	1.966	1.847				
		10.7532	10.7922	10.765	10.7376	10.787	10.7132	10.8084	10.7808	10.702	10.7332				
		2.336	2.757	2.88	2.914	3.684	4.78	4.169	4.035	4.122	4.298				
		
	37.06	11.122	11.1722	11.1458	11.128	11.1462	11.1604	11.114	11.0672	11.122	11.1636				
		1498.88	1686.68	1583.577	1578.693	1606.396	1595.079	1674.53	1659.065	1603.427	1492.014				
		11.2828	11.333	11.3066	11.3392	11.3054	11.314	11.274	11.2272	11.2828	11.4036				
		1443.032	1702.927	1606.403	1696.99	1690.874	1690.566	1712.605	1730.819	1673.441	1526.968				
		11.4428	11.5538	11.5258	11.5088	11.4582	11.4636	11.434	11.3768	11.4724	11.554				
		1527.574	1820.331	1750.299	1815.026	1763.046	1813.441	1752.271	1769.913	1730.224	1589.631				
		11.6628	11.7026	11.6858	11.6688	11.6166	11.6148	11.5852	11.528	11.6228	11.714				
		1375.027	1621.494	1528.508	1626.536	1736.044	1697.668	1775.706	1764.492	1643.897	1466.794				
		11.8236	11.8626	11.8354	11.8192	11.8358	11.774	11.7444	11.6976	11.7828	11.874				
		1.316	1.752	1.812	2	1.774	1.66	1.573	1.936	2.032	1.838				
		11.9732	12.013	11.9874	11.98	11.9862	11.9236	11.9444	11.9072	11.9332	12.0244				
		1.477	1.453	1.908	1.761	1.78	2.077	2.043	1.702	1.752	1.981				
		12.1236	12.1634	12.1466	12.1392	12.147	12.074	12.0948	12.068	12.0836	12.1844				
		1.467	1.785	1.954	1.799	2.208	2.404	2.117	2.261	1.791	1.859				
		12.2852	12.325	12.2962	12.3272	12.2966	12.2964	12.2548	12.2288	12.2444	12.3972				
		2.307	2.718	2.816	3.004	3.795	4.755	3.84	4.318	4.227	4.194				
		
	37.06	12.714	12.6938	12.6666	12.64	12.667	12.6452	12.6348	12.5984	12.6436	12.6852				
		1513.258	1683.179	1590.279	1563.77	1604.185	1600.485	1672.495	1658.17	1611.049	1493.54				
		12.874	12.8538	12.8186	12.8016	12.9174	12.8052	12.7948	12.748	12.8036	12.8356				
		1449.977	1699.106	1616.367	1698.837	1689.295	1684.267	1727.607	1727.08	1658.924	1538.109				
		13.042	13.005	12.977	12.96	13.0774	12.9668	13.0052	12.9696	12.9556	12.9868				
		1531.296	1830.477	1752.534	1821.192	1749.332	1800.89	1756.003	1763.278	1724.096	1583.608				
		13.1948	13.1746	13.137	13.1104	13.2278	13.1252	13.1652	13.1384	13.1244	13.1556				
