##BLOCKS= 1          
Plate:	Plate#1	1.3	PlateFormat	FLEX	Fluorescence	TRUE	Raw	FALSE	237	360	1.52				1	565	1	10	96	530	Automatic	550			6	Medium			1	8	TimeTags	
	Temperature(¡C)	1	2	3	4	5	6	7	8	9	10	11	12		
		6.2182	6.2512	6.2632	6.2462	6.2818	6.1982	6.2374	6.1238	6.2892	6.2308				
		1629.508	1656.447	1635.18	1521.934	1648.353	1691.301	1631.863	1635.675	1577.267	1609.254				
		
	37.05	6.5588	6.5536	6.6512	6.5666	6.5702	6.5386	6.5686	6.5446	6.6292	6.5612				
		547.547	476.216	396.834	418.892	438.164	341.658	320.527	380.621	430.139	257.037				
		6.7186	6.702	6.8036	6.7614	6.7202	6.7338	6.7378	6.7142	6.798	6.7612				
		424.751	569.279	555.539	562.058	533.752	496.768	439.483	422.288	423.314	394.685				
		6.869	6.8524	6.9632	6.9166	6.9758	6.889	6.8978	6.8842	6.95	6.9116				
		437.983	542.02	588.548	580.971	573.953	571.458	552.297	492.479	456.328	398.83				
		7.109	7.0124	7.1136	7.0678	7.1306	7.0394	7.0482	7.0342	7.11	7.0716				
		495.282	654.11	582.655	543.265	519.032	457.537	445.359	456.068	427.399	410.663				
		7.2592	7.1636	7.2648	7.227	7.2806	7.199	7.1994	7.1858	7.26	7.222				
		1659.652	1634.695	1725.507	1668.375	1742.608	1854.508	1661.245	1751.009	1613.29	1759.514				
		7.4096	7.3832	7.424	7.377	7.431	7.3506	7.4314	7.3446	7.4116	7.3724				
		1659.459	1657.665	1632.457	1709.51	1764.532	1820.555	1745.096	1672.966	1728.274	1600.332				
		7.5696	7.5428	7.6232	7.5274	7.5926	7.5098	7.5786	7.495	7.6504	7.532				
		1809.817	1706.757	1778.291	1814.015	1791.22	1827.324	1769.578	1961.799	1608.597	1805.472				
		7.7198	7.6932	7.7744	7.6878	7.7414	7.6698	7.729	7.6454	7.8008	7.682				
		1630.982	1653.491	1635.774	1525.055	1636.842	1697.705	1632.978	1636.304	1582.854	1616.081				
		
	37.05	8.1026	8.0432	8.0664	8.0878	8.1318	8.0718	8.0894	8.0558	8.142	8.0828				
		540.866	480.089	395.409	420.466	437.014	341.149	319.956	380.902	431.776	257.702				
		8.2504	8.1936	8.2248	8.2478	8.2838	8.2202	8.2494	8.2158	8.3112	8.2332				
		424.014	570.238	548.031	559.492	532.839	496.273	440.603	427.803	422.508	392.769				
		8.4106	8.4336	8.3848	8.3982	8.4422	8.3706	8.4894	8.3758	8.4716	8.3932				
		437.718	540.079	591.607	578.147	572.014	575.485	549.415	490.917	457.795	398.374				
		8.5706	8.5856	8.5352	8.5594	8.5918	8.5306	8.6418	8.5262	8.7116	8.544				
		493.584	660.369	585.739	551.192	522.605	454.568	441.777	457.678	427.901	411.979				
		8.7222	8.744	8.7556	8.7182	8.7422	8.6814	8.7998	8.6862	8.8632	8.6932				
		1671.385	1625.859	1720.828	1656.656	1736.332	1868.128	1668.939	1751.691	1616.889	1766.282				
		8.8812	8.904	8.9056	8.917	8.9038	8.8586	8.9498	8.8462	9.022	8.9072				
		1662.276	1652.811	1640.366	1716.351	1767.029	1820.419	1748.102	1667.488	1731.039	1592.27				
		9.041	9.0544	9.056	9.069	9.0934	9.011	9.1002	9.0266	9.1716	9.0536				
		1797.158	1708.497	1759.145	1789.088	1798.428	1834.327	1764.621	1941.096	1604.886	1813.559				
		9.2314	9.2056	9.216	9.229	9.243	9.161	9.261	9.187	9.3224	9.204				
		1640.092	1662.244	1628.275	1516.439	1658.593	1703.006	1626.536	1623.71	1587.721	1618.554				
		
	37.05	9.6016	9.5648	9.5864	9.6094	9.6542	9.5814	9.6506	9.5774	9.7008	9.6044				
		542.922	474.991	395.779	420.099	437.988	341.985	319.061	383.022	431.41	258.344				
		9.752	9.7252	9.8164	9.7594	9.8238	9.7318	9.8106	9.7374	9.8532	9.7644				
		422.973	570.512	548.161	564.51	536.906	500.754	446.04	424.409	426.853	392.089				
		9.9118	9.8852	9.9668	9.9754	9.9834	9.917	9.9626	9.887	10.0128	9.9668				
		435.705	542.105	586.176	577.661	579.225	575.017	551.067	489.11	459.305	397.73				
		10.063	10.0372	10.128	10.1298	10.2142	10.063	10.1214	10.0894	10.1628	10.1248				
		493.757	658.069	585.095	547.188	520.429	453.927	444.444	455.184	430.483	412.01				
		10.2926	10.196	10.2868	10.2802	10.3758	10.2122	10.281	10.2478	10.3232	10.2848				
		1664.777	1629.754	1727.394	1652.98	1740.335	1865.106	1666.507	1759.44	1607.917	1759.487				
		10.4524	10.3556	10.4372	10.4406	10.5238	10.3722	10.4314	10.3982	10.4732	10.4348				
		1664.569	1656.686	1632.324	1715.669	1776.169	1824.908	1748.941	1660.531	1734.648	1599.572				
		10.6028	10.5664	10.5976	10.6002	10.6742	10.5322	10.6714	10.5582	10.6236	10.5852				
		1810.361	1710.618	1767.805	1798.651	1805.041	1841.656	1769.377	1958.334	1618.742	1815.355				
		10.764	10.726	10.8096	10.7518	10.8342	10.6826	10.8218	10.7194	10.8336	10.7472				
		1637.674	1643.035	1629.74	1523.971	1642.429	1700.5	1624.547	1623.307	1577.286	1612.099				
		
	37.05	11.1234	11.0864	11.098	11.131	11.2102	11.1034	11.1722	11.1686	11.1844	11.126				
		545.077	475.808	396.419	421.345	440.726	340.548	320.025	381.026	427.63	255.287				
		11.3534	11.2464	11.248	11.2814	11.3646	11.2634	11.3242	11.319	11.344	11.286				
		425.165	571.375	549.648	565.498	530.686	498.104	442.41	423.015	421.222	392.233				
		11.5048	11.4088	11.3984	11.4414	11.515	11.4234	11.4826	11.5006	11.494	11.4372				
		435.99	541.676	590.252	576.362	570.648	575.178	553.114	489.434	457.332	400.929				
		11.674	11.6272	11.5592	11.5934	11.6754	11.575	11.665	11.659	11.6456	11.6068				
		489.235	655.037	583.405	546.623	520.504	453.173	447.2	454.595	427.525	410.779				
		11.8338	11.7772	11.728	11.7518	11.8366	11.7338	11.813	11.8094	11.8844	11.766				
		1661.75	1628.779	1722.158	1663.329	1734.688	1855.187	1675.362	1754.02	1623.929	1763.168				
		11.9842	11.9272	11.9388	11.9118	11.9854	11.8938	11.975	11.9698	12.0348	11.9164				
		1662.762	1662.871	1632.746	1700.188	1757.908	1813.547	1736.423	1667.517	1730.508	1596.367				
		12.1444	12.088	12.0984	12.0926	12.1462	12.1042	12.133	12.2094	12.1952	12.1476				
		1816.055	1716.843	1776.006	1783.866	1798.762	1831.431	1768.68	1951.819	1607.482	1800.717				
		12.347	12.2376	12.25	12.2438	12.3458	12.2658	12.2834	12.3598	12.346	12.2968				
		1636.182	1660.905	1623.319	1515.053	1631.133	1688.74	1622.583	1622.663	1574.307	1606.066				
		
	37.05	12.635	12.6792	12.6292	12.6526	12.6962	12.625	12.7246	12.6398	12.7052	12.6472				
		539.535	476.304	401.995	416.11	436.937	339.659	320.227	380.548	429.062	259.069				
		12.7948	12.8488	12.7796	12.8138	12.8462	12.7846	12.8942	12.7914	12.946	12.798				
		424.846	569.986	549.759	560.811	530.312	498.707	440.476	424.954	423.107	393.188				
